FID,knooppuntnummer,regio,provincie,puntid,last_edited_date,soort_knooppunt,wkb_geometry
wandelknooppunten_vrij_wgs84.95,28,"Duin, Horst en Weide",Zuid-Holland,177689,2019-11-20T11:13:34,knooppunt,POINT (4.381948691000048 52.15669669200008)
wandelknooppunten_vrij_wgs84.96,35,"Duin, Horst en Weide",Zuid-Holland,177688,2019-11-20T11:13:34,knooppunt,POINT (4.2885015160000535 52.10820454700007)
wandelknooppunten_vrij_wgs84.97,24,"Duin, Horst en Weide",Zuid-Holland,177687,2019-11-20T11:13:34,knooppunt,POINT (4.332096269000033 52.10308487000003)
wandelknooppunten_vrij_wgs84.98,77,"Duin, Horst en Weide",Zuid-Holland,177686,2019-11-20T11:13:34,knooppunt,POINT (4.375505155000042 52.09263920500007)
wandelknooppunten_vrij_wgs84.99,18,"Duin, Horst en Weide",Zuid-Holland,177685,2019-11-20T11:13:34,knooppunt,POINT (4.32276756300007 52.10775283600003)
wandelknooppunten_vrij_wgs84.100,54,"Duin, Horst en Weide",Zuid-Holland,177684,2019-11-20T11:13:34,knooppunt,POINT (4.447086723000041 52.09515630000004)
wandelknooppunten_vrij_wgs84.101,42,"Duin, Horst en Weide",Zuid-Holland,177683,2019-11-20T11:13:34,knooppunt,POINT (4.397757990000059 52.135747319000075)
wandelknooppunten_vrij_wgs84.102,41,"Duin, Horst en Weide",Zuid-Holland,177682,2019-11-20T11:13:34,knooppunt,POINT (4.397216166000021 52.13572551100003)
wandelknooppunten_vrij_wgs84.103,81,"Duin, Horst en Weide",Zuid-Holland,177681,2019-11-20T11:13:34,knooppunt,POINT (4.407579511000051 52.10735986700007)
wandelknooppunten_vrij_wgs84.104,79,"Duin, Horst en Weide",Zuid-Holland,177680,2019-11-20T11:13:34,knooppunt,POINT (4.40047239300003 52.10374437300004)
wandelknooppunten_vrij_wgs84.105,93,"Duin, Horst en Weide",Zuid-Holland,177679,2019-11-20T11:13:34,knooppunt,POINT (4.391895533000024 52.12933394600003)
